,date,currency_code,from_myr,to_myr,cpi,cpi_growth_rate,gdp,interest_rate
5535,2020-07-06,KRW,279.3067,0.0036,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5536,2020-07-07,KRW,279.339,0.0036,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5537,2020-07-08,KRW,279.2145,0.0036,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5538,2020-07-09,KRW,280.1489,0.0036,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5539,2020-07-10,KRW,281.8064,0.0035,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5540,2020-07-13,KRW,281.7815,0.0035,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5541,2020-07-14,KRW,282.6074,0.0035,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5542,2020-07-15,KRW,281.8181,0.0035,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5543,2020-07-16,KRW,282.2988,0.0035,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5544,2020-07-17,KRW,282.2579,0.0035,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5545,2020-07-20,KRW,282.3846,0.0035,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5546,2020-07-21,KRW,281.1659,0.0036,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5547,2020-07-22,KRW,280.5289,0.0036,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5548,2020-07-23,KRW,281.7919,0.0035,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5549,2020-07-24,KRW,281.6344,0.0036,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5550,2020-07-27,KRW,281.1007,0.0036,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5551,2020-07-28,KRW,282.4131,0.0035,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5552,2020-07-29,KRW,281.2073,0.0036,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5553,2020-07-30,KRW,280.8108,0.0036,104.87,0.152802979658114,2.243977860110121,4.321429492890669
5554,2020-08-03,KRW,282.0338,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5555,2020-08-04,KRW,283.0397,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5556,2020-08-05,KRW,283.1639,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5557,2020-08-06,KRW,282.9349,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5558,2020-08-07,KRW,282.9827,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5559,2020-08-10,KRW,283.021,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5560,2020-08-11,KRW,281.9864,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5561,2020-08-12,KRW,282.4961,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5562,2020-08-13,KRW,282.4979,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
